 # t =    560.514027640571     
 # r  uz(r)
  0.454598748105E-02  0.690865085043E+00
  0.136379624431E-01  0.690802384575E+00
  0.236225949647E-01  0.690661126287E+00
  0.344808787301E-01  0.690421287435E+00
  0.461921443791E-01  0.690062263416E+00
  0.587340988519E-01  0.689564437181E+00
  0.720828678255E-01  0.688911397644E+00
  0.862130411592E-01  0.688091719243E+00
  0.101097721265E+00  0.687098931625E+00
  0.116708574309E+00  0.685929846522E+00
  0.133015884144E+00  0.684583088895E+00
  0.149988608879E+00  0.683058980495E+00
  0.167594439969E+00  0.681358816382E+00
  0.185799863713E+00  0.679480094752E+00
  0.204570225052E+00  0.677412416855E+00
  0.223869793537E+00  0.675145352830E+00
  0.243661831342E+00  0.672685238430E+00
  0.263908663198E+00  0.670059950082E+00
  0.284571748110E+00  0.667305267667E+00
  0.305611752722E+00  0.664454699159E+00
  0.326988626189E+00  0.661532275408E+00
  0.348661676416E+00  0.658531739116E+00
  0.370589647523E+00  0.655407344920E+00
  0.392730798368E+00  0.652088845027E+00
  0.415042982013E+00  0.648508698825E+00
  0.437483725949E+00  0.644636156186E+00
  0.460010312943E+00  0.640483250269E+00
  0.482579862358E+00  0.636080921586E+00
  0.505149411772E+00  0.631459021921E+00
  0.527675998767E+00  0.626632787569E+00
  0.550116742702E+00  0.621598032289E+00
  0.572428926348E+00  0.616322628844E+00
  0.594570077193E+00  0.610717809121E+00
  0.616498048299E+00  0.604634477077E+00
  0.638171098527E+00  0.597926373959E+00
  0.659547971994E+00  0.590504153575E+00
  0.680587976606E+00  0.582302734994E+00
  0.701251061518E+00  0.573219305382E+00
  0.721497893374E+00  0.563091759287E+00
  0.741289931179E+00  0.551724470553E+00
  0.760589499664E+00  0.538925288182E+00
  0.779359861003E+00  0.524502670821E+00
  0.797565284747E+00  0.508238460030E+00
  0.815171115837E+00  0.489875419191E+00
  0.832143840572E+00  0.469144107038E+00
  0.848451150407E+00  0.445816441381E+00
  0.864062003451E+00  0.419761246156E+00
  0.878946683556E+00  0.390992155585E+00
  0.893076856890E+00  0.359702318545E+00
  0.906425625864E+00  0.326282706244E+00
  0.918967580337E+00  0.291320448534E+00
  0.930678845986E+00  0.255568946086E+00
  0.941537129751E+00  0.219884740562E+00
  0.951521762273E+00  0.185140072834E+00
  0.960613737235E+00  0.152134290554E+00
  0.968795747546E+00  0.121529876656E+00
  0.976052218286E+00  0.938278070561E-01
  0.982369336348E+00  0.693797548994E-01
  0.987735076741E+00  0.484215153392E-01
  0.992139225472E+00  0.311096606437E-01
  0.995573398994E+00  0.175501480729E-01
  0.998031060163E+00  0.781602617400E-02
  0.999507530680E+00  0.195638815139E-02
  0.100000000000E+01  0.000000000000E+00
