Array_Length,Total_WallTime,NIter,Performance(F/s)
25,0.102640,16777216,8172824064.000000
38,0.141930,16777216,8983810048.000000
57,0.176666,16777216,10826112000.000000
86,0.126587,8388608,11398025216.000000
129,0.180117,8388608,12015862784.000000
194,0.133699,4194304,12172073984.000000
291,0.100112,2097152,12191718400.000000
437,0.151766,2097152,12077196288.000000
656,0.123862,1048576,11106946048.000000
985,0.146506,524288,7049880064.000000
1477,0.164410,524288,9420012544.000000
2216,0.100576,262144,11551719424.000000
3325,0.165840,131072,5255836160.000000
4987,0.177544,131072,7363301888.000000
7481,0.193448,65536,5068791296.000000
11222,0.125057,32768,5880875520.000000
16834,0.121381,16384,4544522752.000000
25251,0.182073,16384,4544465408.000000
37876,0.136610,8192,4542582272.000000
56815,0.105381,4096,4416610816.000000
85222,0.177610,4096,3930742528.000000
127834,0.169777,2048,3084085760.000000
191751,0.132890,1024,2955111424.000000
287626,0.195392,1024,3014753792.000000
431439,0.142968,512,3090149632.000000
647159,0.107186,256,3091313408.000000
970739,0.160869,256,3089579520.000000
1456109,0.126273,128,2952036352.000000
2184164,0.116751,64,2394619136.000000
3276246,0.102319,32,2049269760.000000
4914369,0.168604,32,1865432192.000000
7371554,0.135802,16,1737006976.000000
11057332,0.102510,8,1725847680.000000
16585998,0.154801,8,1714299776.000000
24878997,0.117293,4,1696877056.000000
37318496,0.173774,4,1718020864.000000
55977744,0.135820,2,1648580608.000000
