tilesize=1,P= 8.1783 MP/s
tilesize=2,P= 32.8626 MP/s
tilesize=3,P= 72.3498 MP/s
tilesize=10,P= 101.6131 MP/s
tilesize=12,P= 101.8949 MP/s
tilesize=15,P= 102.2332 MP/s
tilesize=30,P= 102.7606 MP/s
tilesize=40,P= 102.8234 MP/s
tilesize=50,P= 102.8406 MP/s
tilesize=60,P= 102.7277 MP/s
tilesize=75,P= 102.6524 MP/s
tilesize=100,P= 102.5688 MP/s
tilesize=120,P= 102.3430 MP/s
tilesize=125,P= 101.9794 MP/s
tilesize=150,P= 101.4175 MP/s
tilesize=200,P= 100.5514 MP/s
tilesize=250,P= 101.5277 MP/s
tilesize=300,P= 99.7220 MP/s
tilesize=375,P= 99.3800 MP/s
tilesize=500,P= 94.7571 MP/s
tilesize=600,P= 96.7457 MP/s
tilesize=625,P= 92.5172 MP/s
tilesize=750,P= 85.8480 MP/s
tilesize=1000,P= 79.7542 MP/s
tilesize=1250,P= 72.3863 MP/s
tilesize=1500,P= 67.0401 MP/s
tilesize=1875,P= 61.4264 MP/s
tilesize=2500,P= 52.0611 MP/s
tilesize=3000,P= 37.9235 MP/s
