Array_Length,Total_WallTime,NIter,Performance(F/s)
25,0.103831,16777216,8079118848.000000
38,0.135835,16777216,9386919936.000000
57,0.177861,16777216,10753374208.000000
86,0.126528,8388608,11403373568.000000
129,0.180483,8388608,11991475200.000000
194,0.142645,4194304,11408633856.000000
291,0.106737,2097152,11435000832.000000
437,0.179998,2097152,10182961152.000000
656,0.129629,1048576,10612870144.000000
985,0.148177,524288,6970356736.000000
1477,0.174357,524288,8882632704.000000
2216,0.128395,131072,4524393984.000000
3325,0.105733,65536,4121854720.000000
4987,0.150804,65536,4334475264.000000
7481,0.106031,32768,4623878144.000000
11222,0.190241,32768,3865851648.000000
16834,0.128858,16384,4280795136.000000
25251,0.193296,16384,4280617472.000000
37876,0.145061,8192,4277917696.000000
56815,0.145798,4096,3192276992.000000
85222,0.143769,2048,2427982080.000000
127834,0.117669,1024,2224915968.000000
191751,0.172223,1024,2280216064.000000
287626,0.129193,512,2279768064.000000
431439,0.196171,512,2252083456.000000
647159,0.146254,256,2265552128.000000
970739,0.118138,128,2103543936.000000
1456109,0.111826,64,1666720384.000000
2184164,0.198328,64,1409652480.000000
3276246,0.162041,32,1293990400.000000
4914369,0.129773,16,1211805696.000000
7371554,0.197729,16,1192996480.000000
11057332,0.148266,8,1193244160.000000
16585998,0.113482,4,1169238144.000000
24878997,0.167496,4,1188281216.000000
37318496,0.131150,2,1138196608.000000
55977744,0.125064,1,895182144.000000
