Array_Length,Total_WallTime,NIter,Performance(F/s)
25,0.102366,16777216,8194696192.000000
38,0.140362,16777216,9084124160.000000
57,0.178812,16777216,10696136704.000000
86,0.126519,8388608,11404148736.000000
129,0.180083,8388608,12018097152.000000
194,0.133717,4194304,12170378240.000000
291,0.100121,2097152,12190724096.000000
437,0.151742,2097152,12079117312.000000
656,0.123853,1048576,11107773440.000000
985,0.146532,524288,7048623616.000000
1477,0.164269,524288,9428137984.000000
2216,0.100547,262144,11555045376.000000
3325,0.165597,131072,5263562752.000000
4987,0.177544,131072,7363309056.000000
7481,0.193436,65536,5069122048.000000
11222,0.125070,32768,5880269312.000000
16834,0.121387,16384,4544281600.000000
25251,0.182697,16384,4528940544.000000
37876,0.137065,8192,4527505920.000000
56815,0.102835,4096,4525981184.000000
85222,0.172446,4096,4048448256.000000
127834,0.167179,2048,3132023296.000000
191751,0.124729,1024,3148478720.000000
287626,0.191549,1024,3075233536.000000
431439,0.139765,512,3160977408.000000
647159,0.104813,256,3161313536.000000
970739,0.157675,256,3152176128.000000
1456109,0.123026,128,3029966592.000000
2184164,0.112700,64,2480681984.000000
3276246,0.101653,32,2062700800.000000
4914369,0.160822,32,1955702400.000000
7371554,0.133449,16,1767634560.000000
11057332,0.199262,16,1775724288.000000
16585998,0.149751,8,1772113024.000000
24878997,0.112857,4,1763572480.000000
37318496,0.167977,4,1777310080.000000
55977744,0.129707,2,1726278400.000000
