Number_of_elements,Kernel_reps,Cuda_blocks,Threads_per_block,T_hosttodev,T_exec,T_devtohost,Bw_HosttoDev,Bw_DevtoHost,Bw_execution
32000000,16,864,1,0.010204,0.283839,0.009933,25087079603.274979,25771522370.354942,28861470648.161640
32000000,16,864,2,0.010131,0.137282,0.009745,25269802020.870499,26268965471.423485,59672929410.784180
32000000,16,864,3,0.009718,0.093386,0.009746,26342446032.462048,26266399574.383415,87722373592.653534
32000000,16,864,4,0.009717,0.072125,0.009746,26345463331.828781,26266696023.752853,113580302647.243851
32000000,16,864,5,0.009885,0.059929,0.009745,25899009244.616669,26268615056.996281,136695641179.436859
32000000,16,864,6,0.009716,0.049940,0.009746,26349620356.160263,26267264704.456127,164037001873.519012
32000000,16,864,7,0.009901,0.044085,0.009746,25854924379.361744,26267156898.351967,185821864342.309570
32000000,16,864,8,0.009914,0.041639,0.009746,25822731391.614471,26266941278.993565,196740354313.555664
32000000,16,864,9,0.009712,0.036358,0.010135,26360492293.763821,25259781060.579929,225314421842.561157
32000000,16,864,10,0.009721,0.033308,0.009745,26335115782.437668,26269639369.335777,245950094828.044739
32000000,16,864,11,0.010029,0.030714,0.009746,25524887908.707642,26267480309.514008,266715356111.135681
32000000,16,864,12,0.010095,0.032401,0.011134,25358189376.729977,22993064719.182697,252832256741.661560
32000000,16,864,13,0.009713,0.030244,0.010953,26356144604.171329,23371968895.198376,270867833815.093964
32000000,16,864,14,0.010123,0.026791,0.009974,25288109107.181587,25665583267.574055,305771953227.708130
32000000,16,864,15,0.009913,0.025137,0.009831,25823773328.137821,26040101148.005619,325888590416.667053
32000000,16,864,16,0.009719,0.023615,0.009825,26340001258.639576,26056167941.497772,346901668815.299316
32000000,16,864,17,0.009817,0.022584,0.009825,26076833147.988480,26056141418.928844,362736719246.803101
32000000,16,864,18,0.009709,0.021535,0.009745,26366831843.957691,26268588109.970673,380403110338.406311
32000000,16,864,19,0.010116,0.020342,0.009746,25305269519.114700,26267127248.151604,402705896579.864380
32000000,16,864,20,0.009712,0.019885,0.009746,26359433730.711941,26266644814.283577,411971596887.448853
32000000,16,864,21,0.009713,0.019677,0.010278,26357639809.436295,24907441128.102371,416317236992.064453
32000000,16,864,22,0.009716,0.018991,0.010281,26347228477.475155,24899698478.329697,431357613310.864624
32000000,16,864,23,0.009720,0.018389,0.010279,26338239792.190372,24905158530.377609,445475694520.691406
32000000,16,864,24,0.009720,0.016206,0.009745,26336825357.412350,26271124775.408440,505497002144.650818
32000000,16,864,25,0.009678,0.015738,0.009746,26451101218.939243,26267749847.778622,520518943200.507263
32000000,16,864,26,0.009689,0.015093,0.009746,26422571654.090405,26267102990.729267,542761230301.613342
32000000,16,864,27,0.010124,0.016939,0.011136,25286835197.095406,22989300551.555115,483627794093.096985
32000000,16,864,28,0.009713,0.016537,0.011136,26356958674.214710,22988039208.946514,495377155137.935852
32000000,16,864,29,0.009719,0.014316,0.009745,26338863056.418407,26268642013.883255,572233194541.422974
32000000,16,864,30,0.009684,0.013868,0.009746,26434762210.233406,26266183977.262329,590727042124.769897
32000000,16,864,31,0.010113,0.013526,0.009746,25313466746.704788,26267483015.753063,605669650583.051514
32000000,16,864,32,0.009725,0.012613,0.009746,26324857584.987648,26267291648.766628,649471424353.928101
32000000,16,864,33,0.009676,0.013130,0.009746,26458085994.723698,26266965526.312397,623908759421.767090
32000000,16,864,34,0.009709,0.012698,0.009746,26367049106.399120,26267668982.776814,645141373598.703003
32000000,16,864,35,0.010019,0.012884,0.009747,25550465316.812160,26264187151.399025,635851417148.654053
32000000,16,864,36,0.009714,0.012423,0.009747,26353995720.202496,26265213824.210930,659428728073.498535
32000000,16,864,37,0.010114,0.012247,0.009747,25311662201.955803,26265644990.139812,668875949541.528076
32000000,16,864,38,0.009720,0.012008,0.009746,26338700459.906021,26267561173.354160,682192769998.167480
32000000,16,864,39,0.009720,0.011695,0.009746,26336608612.479885,26265860578.412769,700457049875.811646
32000000,16,864,40,0.009702,0.011374,0.009746,26385512542.335747,26265860578.412769,720230909901.453369
32000000,16,864,41,0.009716,0.012329,0.011139,26347580992.407581,22981340586.435257,664441210286.937256
32000000,16,864,42,0.009710,0.012030,0.011137,26363540871.002121,22985805905.930267,680947274778.940674
32000000,16,864,43,0.009683,0.011256,0.010131,26437688734.085442,25269028786.148529,727817168530.916870
32000000,16,864,44,0.009716,0.010313,0.009747,26347038659.578812,26265644990.139812,794375680612.058350
32000000,16,864,45,0.009711,0.010304,0.009748,26362153582.570488,26263106667.625839,795006751939.185059
32000000,16,864,46,0.009707,0.009601,0.009745,26371758982.569260,26269561209.173874,853228279714.046387
32000000,16,864,47,0.010096,0.009522,0.009748,25355999214.259159,26263106677.427788,860338460068.626831
32000000,16,864,48,0.009707,0.009133,0.009745,26373068475.203499,26269669035.014603,896961346366.628052
